Namee,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
Advaitan Joshi,8243282182,Mumbai,whatsapp,Nilesh Shinde,Active lead,NO,NO
Saanvi Reddy,8243282282,Mumbai,whatsapp,Nilesh Shinde,End Lead,NO,NO
Dhruv Chawla,8243282198,Lucknow,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
Aradhya Singh,8243282248,Mumbai,Investment Leads,Nilesh Shinde,Active lead,NO,NO
Samaira Krishnan,8243282299,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Shaurya Patel,8243282239,Tamilnadu,Investment Leads,Sushant Nikam,Active lead,NO,NO
Aarav Iyer,8243282242,Navi Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Aishani Nair,8243282299,Nagpur,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Aryan Khanna,8243282291,Nashik,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Ishani Sharma,8243282299,Mumbai,Investment Leads,Senthil Nadar,End Lead,NO,NO
Arjun Dubey,8243282282,Surat,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Kiara Chatterjee,8243282293,Surat,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Pranav Menon,8243282229,Tamilnadu,Investment Leads,Roshan Patil,Active lead,NO,NO
Siya Rao,8243282299,Patna,whatsapp,Kiran Dhakal,Hot lead,YES,Coverted
Aarush Murthy,8243282228,Agra,Investment Leads,Pooja Melwani,End Lead,NO,NO
Isha Raghavan,8243282242,Nagpur,whatsapp,Manisha Parte,Hot lead,YES,Coverted
Advaitan Nair,8243282174,bhubaneswar,Investment Leads,Anchal Mishra,End Lead,NO,NO
Ananya Mehra,8243282229,chakur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Devansh Shah,8243282192,belgaum,Insta,Deepali Yadav,Hot lead,YES,Coverted
Reyansh Iyengar,8243282232,mysore,Investment Leads,Ritik Yadav,End Lead,NO,NO
Myra Gupta,8243272223,Rourkela,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
Rudra Bhatia,8243272398,kendrapara,Investment Leads,Akash Sharma,End Lead,NO,NO
Anika Nair,8243272127,baragur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Dhruv Choudhury,8243272182,Konarka,Investment Leads,Sushant Nikam,End Lead,NO,NO
Aahana Kapoor,8243272249,Bangalore,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Kian Singhania,8243272242,"pathri, parbhani",Investment Leads,Tamanna Sahu,End Lead,NO,NO
Anshuman Iyer,8243272319,bhubaneswar,Insta,Rohit Sonar,End Lead,NO,NO
Aanya Desai,8243272399,chakur,Insta,Senthil Nadar,End Lead,NO,NO
Vihaan Verma,8243272222,belgaum,Insta,Ronak Jadhav,Active lead,NO,NO
Ayush Sengupta,8243272279,mysore,Insta,Deepali Kasatwar,Active lead,NO,NO
Saisha Patel,8243272292,Rourkela,Insta,Roshan Patil,End Lead,NO,NO
Shaurya,8243272122,kendrapara,Insta,Kiran Dhakal,End Lead,NO,NO
Thompson,8243272297,baragur,Insta,Pooja Melwani,End Lead,NO,NO
clark,8243272272,Konarka,Insta,Manisha Parte,End Lead,NO,NO
james,8243272222,Bangalore,Insta,Anchal Mishra,Active lead,NO,NO
Smith,8243272212,"pathri, parbhani",Insta,Nilesh Shinde,End Lead,NO,NO
benjamin,8243272277,Falta,Insta,Deepali Yadav,End Lead,NO,NO
parker,8243272179,Puttur,Insta,Ritik Yadav,End Lead,NO,NO
logan,8243272222,Boradi,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
morris,8243272242,Athani,Google Ad,Akash Sharma,End Lead,NO,NO
lucas,8243272249,Jalgaon,Google Ad,Suryakant Choudhary,End Lead,NO,NO
wood,8243272184,Ajmer,Google Ad,Sushant Nikam,End Lead,NO,NO
huges,8243272218,Hassan,Google Ad,Azimuddin Mohd,End Lead,NO,NO
sopia,8243272229,Vijayapur,Google Ad,Tamanna Sahu,End Lead,NO,NO
Jack,9243272174,barbigha sheakpura (vil maldah),Google Ad,Rohit Sonar,End Lead,NO,NO
emily,9243272282,Manawar,Google Ad,Senthil Nadar,End Lead,NO,NO
aiden miller,9243272212,BICHHIYA,Google Ad,Ronak Jadhav,End Lead,NO,NO
johmston,9243272172,Mogri,Google Ad,Deepali Kasatwar,End Lead,NO,NO
murphy,9243272323,bhubaneswar,Google Ad,Roshan Patil,End Lead,NO,NO
olivia m,9243272292,bhopal,FB,Kiran Dhakal,Active lead,NO,NO
samuel,9243272242,Bhubaneswar,FB,Pooja Melwani,Active lead,NO,NO
elizabeth,9243272394,Jaipur,FB,Manisha Parte,Active lead,NO,NO
michael,9243272243,malda,FB,Anchal Mishra,Active lead,NO,NO
charlot,9243272232,Naihati,FB,Nilesh Shinde,End Lead,NO,NO
william,9243272232,Chennai,FB,Deepali Yadav,Active lead,NO,NO
hanna,9243272199,Srikakulam,FB,Ritik Yadav,End Lead,NO,NO
jacobrivera,9243272177,Tirupattur,FB,Abhijeet Bramhane,Active lead,NO,NO
sopia,9243272188,Safidon,FB,Akash Sharma,End Lead,NO,NO
andre,9243272172,Jaipur,FB,Suryakant Choudhary,Hot lead,YES,Coverted
hernandez,9243272234,Erode,FB,Sushant Nikam,End Lead,NO,NO
watson,9243272228,nashik,FB,Azimuddin Mohd,Active lead,NO,NO
martin,9243272222,Vellore,FB,Tamanna Sahu,End Lead,NO,NO
adams,9243272242,Shimla,FB,Rohit Sonar,Hot lead,YES,Coverted
clark behnjamin,9243272779,Parbhani,FB,Senthil Nadar,End Lead,NO,NO
oliva,9243272192,Navi Mumbai,PZ VIP,Ronak Jadhav,Active lead,NO,NO
james ethan,9243272197,bhubaneswar,whatsapp,Deepali Kasatwar,End Lead,NO,NO
isabe white,9243272228,chakur,whatsapp,Roshan Patil,End Lead,NO,NO
logan jones,9243272222,belgaum,whatsapp,Kiran Dhakal,Active lead,NO,NO
walker,9243272212,mysore,whatsapp,Pooja Melwani,Active lead,NO,NO
jackthomas,9243272229,Rourkela,whatsapp,Manisha Parte,End Lead,NO,NO
abigaillewis,9243272224,kendrapara,whatsapp,Anchal Mishra,End Lead,NO,NO
sanchez,9243272249,baragur,whatsapp,Nilesh Shinde,End Lead,NO,NO
morris s,9243272222,Konarka,whatsapp,Deepali Yadav,End Lead,NO,NO
lucas w,9243272237,Bangalore,whatsapp,Ritik Yadav,Hot lead,YES,Converted
emily,9243272199,Chittoor,PZ VIP,Ronak Jadhav,End Lead,NO,NO
naohill,9243272292,mysore,Calling,Deepali Kasatwar,Active lead,NO,NO
roddrigez m,9243272222,Rourkela,Calling,Roshan Patil,End Lead,NO,NO
jacob,9243272172,kendrapara,whatsapp,Kiran Dhakal,Active lead,NO,NO
hannah,9243272122,baragur,whatsapp,Pooja Melwani,Active lead,NO,NO
oliver mm,9243272143,Konarka,whatsapp,Manisha Parte,Active lead,NO,NO
avaalll,9243272121,Bangalore,FB,Anchal Mishra,Active lead,NO,NO
samuele w,9243272341,Tamilnadu,FB,Nilesh Shinde,Active lead,NO,NO
jamesh ,9243234721,Berhampore,FB,Deepali Yadav,End Lead,NO,NO
eliz,9243237721,sitamarhi,FB,Ritik Yadav,End Lead,NO,NO
daniel,9247832721,Mumbai,FB,Abhijeet Bramhane,Hot lead,NO,YES
sophia p,9243212721,Nagpur,FB,Akash Sharma,Hot lead,YES,Coverted
william adams,9229432721,Dibrugarh,FB,Suryakant Choudhary,End Lead,NO,NO
mialee,9243192721,Vaidpura Etawah,FB,Sushant Nikam,End Lead,NO,NO
Rajeshh,9244132721,Navi Mumbai,whatsapp,Sushant Nikam,End Lead,NO,NO
